date,World Cup Qualif,Team_home,Team_away,Goals_home,Goals_away
1996-04-24,1998,Venezuela,Uruguay,0.0,2.0
1996-04-24,1998,Ecuador,Peru,4.0,1.0
1996-04-24,1998,Colombia,Paraguay,1.0,0.0
1996-04-24,1998,Argentina,Bolivia,3.0,1.0
1996-06-02,1998,Ecuador,Argentina,2.0,0.0
1996-06-02,1998,Uruguay,Paraguay,0.0,2.0
1996-06-02,1998,Venezuela,Chile,1.0,1.0
1996-06-02,1998,Peru,Colombia,1.0,1.0
1996-07-06,1998,Chile,Ecuador,4.0,1.0
1996-07-07,1998,Colombia,Uruguay,3.0,1.0
1996-07-07,1998,Peru,Argentina,0.0,0.0
1996-07-07,1998,Bolivia,Venezuela,6.0,1.0
1996-09-01,1998,Ecuador,Venezuela,1.0,0.0
1996-09-01,1998,Bolivia,Peru,0.0,0.0
1996-09-01,1998,Colombia,Chile,4.0,1.0
1996-09-01,1998,Argentina,Paraguay,1.0,1.0
1996-10-08,1998,Uruguay,Bolivia,1.0,0.0
1996-10-09,1998,Ecuador,Colombia,0.0,1.0
1996-10-09,1998,Venezuela,Argentina,2.0,5.0
1996-10-09,1998,Paraguay,Chile,2.0,1.0
1996-11-10,1998,Bolivia,Colombia,2.0,2.0
1996-11-10,1998,Peru,Venezuela,4.0,1.0
1996-11-10,1998,Paraguay,Ecuador,1.0,0.0
1996-11-12,1998,Chile,Uruguay,1.0,0.0
1996-12-15,1998,Bolivia,Paraguay,0.0,0.0
1996-12-15,1998,Venezuela,Colombia,0.0,2.0
1996-12-15,1998,Argentina,Chile,1.0,1.0
1996-12-15,1998,Uruguay,Peru,2.0,0.0
1997-01-12,1998,Venezuela,Paraguay,0.0,2.0
1997-01-12,1998,Bolivia,Ecuador,2.0,0.0
1997-01-12,1998,Uruguay,Argentina,0.0,0.0
1997-01-12,1998,Peru,Chile,2.0,1.0
1997-02-11,1998,Ecuador,Uruguay,4.0,0.0
1997-02-12,1998,Bolivia,Chile,1.0,1.0
1997-02-12,1998,Colombia,Argentina,0.0,1.0
1997-02-12,1998,Paraguay,Peru,2.0,1.0
1997-04-02,1998,Bolivia,Argentina,2.0,1.0
1997-04-02,1998,Peru,Ecuador,1.0,1.0
1997-04-02,1998,Uruguay,Venezuela,3.0,1.0
1997-04-02,1998,Paraguay,Colombia,2.0,1.0
1997-04-29,1998,Chile,Venezuela,6.0,0.0
1997-04-30,1998,Argentina,Ecuador,2.0,1.0
1997-04-30,1998,Paraguay,Uruguay,3.0,1.0
1997-04-30,1998,Colombia,Peru,0.0,1.0
1997-06-08,1998,Ecuador,Chile,1.0,1.0
1997-06-08,1998,Argentina,Peru,2.0,0.0
1997-06-08,1998,Uruguay,Colombia,1.0,1.0
1997-06-08,1998,Venezuela,Bolivia,1.0,1.0
1997-07-05,1998,Chile,Colombia,4.0,1.0
1997-07-06,1998,Paraguay,Argentina,1.0,2.0
1997-07-06,1998,Peru,Bolivia,2.0,1.0
1997-07-06,1998,Venezuela,Ecuador,1.0,1.0
1997-07-20,1998,Argentina,Venezuela,2.0,0.0
1997-07-20,1998,Bolivia,Uruguay,1.0,0.0
1997-07-20,1998,Colombia,Ecuador,1.0,0.0
1997-07-20,1998,Chile,Paraguay,2.0,1.0
1997-08-20,1998,Uruguay,Chile,1.0,0.0
1997-08-20,1998,Colombia,Bolivia,3.0,0.0
1997-08-20,1998,Ecuador,Paraguay,2.0,1.0
1997-08-20,1998,Venezuela,Peru,0.0,3.0
1997-09-10,1998,Chile,Argentina,1.0,2.0
1997-09-10,1998,Peru,Uruguay,2.0,1.0
1997-09-10,1998,Colombia,Venezuela,1.0,0.0
1997-09-10,1998,Paraguay,Bolivia,2.0,1.0
1997-10-12,1998,Argentina,Uruguay,0.0,0.0
1997-10-12,1998,Chile,Peru,4.0,0.0
1997-10-12,1998,Paraguay,Venezuela,1.0,0.0
1997-10-12,1998,Ecuador,Bolivia,1.0,0.0
1997-11-16,1998,Argentina,Colombia,1.0,1.0
1997-11-16,1998,Uruguay,Ecuador,5.0,3.0
1997-11-16,1998,Peru,Paraguay,1.0,0.0
1997-11-16,1998,Chile,Bolivia,3.0,0.0
2000-03-28,2002,Colombia,Brazil,0.0,0.0
2000-03-29,2002,Ecuador,Venezuela,2.0,0.0
2000-03-29,2002,Uruguay,Bolivia,1.0,0.0
2000-03-29,2002,Peru,Paraguay,2.0,0.0
2000-03-29,2002,Argentina,Chile,4.0,1.0
2000-04-26,2002,Bolivia,Colombia,1.0,1.0
2000-04-26,2002,Venezuela,Argentina,0.0,4.0
2000-04-26,2002,Paraguay,Uruguay,1.0,0.0
2000-04-26,2002,Chile,Peru,1.0,1.0
2000-04-26,2002,Brazil,Ecuador,3.0,2.0
2000-06-03,2002,Uruguay,Chile,2.0,1.0
2000-06-03,2002,Paraguay,Ecuador,3.0,1.0
2000-06-04,2002,Argentina,Bolivia,1.0,0.0
2000-06-04,2002,Peru,Brazil,0.0,1.0
2000-06-04,2002,Colombia,Venezuela,3.0,0.0
2000-06-28,2002,Venezuela,Bolivia,4.0,2.0
2000-06-28,2002,Brazil,Uruguay,1.0,1.0
2000-06-29,2002,Ecuador,Peru,2.0,1.0
2000-06-29,2002,Chile,Paraguay,3.0,1.0
2000-06-29,2002,Colombia,Argentina,1.0,3.0
2000-07-18,2002,Uruguay,Venezuela,3.0,1.0
2000-07-18,2002,Paraguay,Brazil,2.0,1.0
2000-07-19,2002,Bolivia,Chile,1.0,0.0
2000-07-19,2002,Argentina,Ecuador,2.0,0.0
2000-07-19,2002,Peru,Colombia,0.0,1.0
2000-07-25,2002,Ecuador,Colombia,0.0,0.0
2000-07-25,2002,Venezuela,Chile,0.0,2.0
2000-07-26,2002,Uruguay,Peru,0.0,0.0
2000-07-26,2002,Brazil,Argentina,3.0,1.0
2000-07-27,2002,Bolivia,Paraguay,0.0,0.0
2000-08-15,2002,Colombia,Uruguay,1.0,0.0
2000-08-15,2002,Chile,Brazil,3.0,0.0
2000-08-16,2002,Ecuador,Bolivia,2.0,0.0
2000-08-16,2002,Argentina,Paraguay,1.0,1.0
2000-08-16,2002,Peru,Venezuela,1.0,0.0
2000-09-02,2002,Paraguay,Venezuela,3.0,0.0
2000-09-02,2002,Chile,Colombia,0.0,1.0
2000-09-03,2002,Uruguay,Ecuador,4.0,0.0
2000-09-03,2002,Peru,Argentina,1.0,2.0
2000-09-03,2002,Brazil,Bolivia,5.0,0.0
2000-10-07,2002,Colombia,Paraguay,0.0,2.0
2000-10-08,2002,Venezuela,Brazil,0.0,6.0
2000-10-08,2002,Ecuador,Chile,1.0,0.0
2000-10-08,2002,Bolivia,Peru,1.0,0.0
2000-10-08,2002,Argentina,Uruguay,2.0,1.0
2000-11-15,2002,Bolivia,Uruguay,0.0,0.0
2000-11-15,2002,Brazil,Colombia,1.0,0.0
2000-11-15,2002,Paraguay,Peru,5.0,1.0
2000-11-15,2002,Venezuela,Ecuador,1.0,2.0
2000-11-15,2002,Chile,Argentina,0.0,2.0
2001-03-27,2002,Colombia,Bolivia,2.0,0.0
2001-03-27,2002,Peru,Chile,3.0,1.0
2001-03-28,2002,Ecuador,Brazil,1.0,0.0
2001-03-28,2002,Uruguay,Paraguay,0.0,1.0
2001-03-28,2002,Argentina,Venezuela,5.0,0.0
2001-04-24,2002,Ecuador,Paraguay,2.0,1.0
2001-04-24,2002,Venezuela,Colombia,2.0,2.0
2001-04-24,2002,Chile,Uruguay,0.0,1.0
2001-04-25,2002,Bolivia,Argentina,3.0,3.0
2001-04-25,2002,Brazil,Peru,1.0,1.0
2001-06-02,2002,Peru,Ecuador,1.0,2.0
2001-06-02,2002,Paraguay,Chile,1.0,0.0
2001-06-03,2002,Argentina,Colombia,3.0,0.0
2001-06-03,2002,Bolivia,Venezuela,5.0,0.0
2001-07-01,2002,Uruguay,Brazil,1.0,0.0
2001-08-14,2002,Venezuela,Uruguay,2.0,0.0
2001-08-14,2002,Chile,Bolivia,2.0,2.0
2001-08-15,2002,Ecuador,Argentina,0.0,2.0
2001-08-15,2002,Brazil,Paraguay,2.0,0.0
2001-08-16,2002,Colombia,Peru,0.0,1.0
2001-09-04,2002,Chile,Venezuela,0.0,2.0
2001-09-04,2002,Peru,Uruguay,0.0,2.0
2001-09-05,2002,Paraguay,Bolivia,5.0,1.0
2001-09-05,2002,Argentina,Brazil,2.0,1.0
2001-09-05,2002,Colombia,Ecuador,0.0,0.0
2001-10-06,2002,Bolivia,Ecuador,1.0,5.0
2001-10-06,2002,Venezuela,Peru,3.0,0.0
2001-10-07,2002,Uruguay,Colombia,1.0,1.0
2001-10-07,2002,Brazil,Chile,2.0,0.0
2001-10-07,2002,Paraguay,Argentina,2.0,2.0
2001-11-07,2002,Colombia,Chile,3.0,1.0
2001-11-07,2002,Ecuador,Uruguay,1.0,1.0
2001-11-07,2002,Bolivia,Brazil,3.0,1.0
2001-11-08,2002,Argentina,Peru,2.0,0.0
2001-11-08,2002,Venezuela,Paraguay,3.0,1.0
2001-11-14,2002,Peru,Bolivia,1.0,1.0
2001-11-14,2002,Uruguay,Argentina,1.0,1.0
2001-11-14,2002,Chile,Ecuador,0.0,0.0
2001-11-14,2002,Paraguay,Colombia,0.0,4.0
2001-11-14,2002,Brazil,Venezuela,3.0,0.0
2003-09-06,2006,Ecuador,Venezuela,2.0,0.0
2003-09-06,2006,Argentina,Chile,2.0,2.0
2003-09-06,2006,Peru,Paraguay,4.0,1.0
2003-09-07,2006,Uruguay,Bolivia,5.0,0.0
2003-09-07,2006,Colombia,Brazil,1.0,2.0
2003-09-09,2006,Venezuela,Argentina,0.0,3.0
2003-09-09,2006,Chile,Peru,2.0,1.0
2003-09-10,2006,Bolivia,Colombia,4.0,0.0
2003-09-10,2006,Paraguay,Uruguay,4.0,1.0
2003-09-10,2006,Brazil,Ecuador,1.0,0.0
2003-11-15,2006,Uruguay,Chile,2.0,1.0
2003-11-15,2006,Colombia,Venezuela,0.0,1.0
2003-11-15,2006,Paraguay,Ecuador,2.0,1.0
2003-11-15,2006,Argentina,Bolivia,3.0,0.0
2003-11-16,2006,Peru,Brazil,1.0,1.0
2003-11-18,2006,Venezuela,Bolivia,2.0,1.0
2003-11-18,2006,Chile,Paraguay,0.0,1.0
2003-11-19,2006,Ecuador,Peru,0.0,0.0
2003-11-19,2006,Colombia,Argentina,1.0,1.0
2003-11-19,2006,Brazil,Uruguay,3.0,3.0
2004-03-30,2006,Bolivia,Chile,0.0,2.0
2004-03-30,2006,Argentina,Ecuador,1.0,0.0
2004-03-31,2006,Uruguay,Venezuela,0.0,3.0
2004-03-31,2006,Peru,Colombia,0.0,2.0
2004-03-31,2006,Paraguay,Brazil,0.0,0.0
2004-06-01,2006,Bolivia,Paraguay,2.0,1.0
2004-06-01,2006,Venezuela,Chile,0.0,1.0
2004-06-01,2006,Uruguay,Peru,1.0,3.0
2004-06-02,2006,Ecuador,Colombia,2.0,1.0
